Identifiant Museofile,Region administrative,Departement,Commune,Nom officiel du musee,Adresse,Lieu,Code Postal,Telephone,Latitude,Longitude,REF_Deps
M0461,Occitanie,Gard,Pont-Saint-Esprit,musee departemental d'art sacre,2 rue Saint-Jacques,Maison des Chevaliers,30130,04 66 39 17 61,"44,255204","4,650869",3020202
M0463,Occitanie,Gard,Uzes,musee municipal Georges Borias,Place de l'Evêche,Ancien Evêche,30701,04 66 22 40 23,"44,0126417249","4,4223024239",3033401
M0464,Occitanie,Gard,Villeneuve-les-Avignon,musee Pierre de Luxembourg,3 rue de la Republique,,30400,04 90 27 49 66,"43,965433","4,796403",3035101
M1207,Occitanie,Gard,Bagnols-sur-Ceze,musee Albert Andre,Place Auguste Mallet,Hotel de Ville,30200,04 66 50 50 56,"44,161992","4,619843",3002801
M0449,Occitanie,Gard,Ales,musee du Colombier,rue Jean Mayodon,,30100,04 66 86 30 40,"44,129352","4,080982",3000702
M0450,Occitanie,Gard,Bagnols-sur-Ceze,musee Leon Alegre,24 avenue Paul Langevin,,30200,04 66 89 74 00,"44,164822","4,621051",3002802
M0452,Occitanie,Gard,Le Vigan,musee cevenol,1 rue des Calquieres,,30120,04 67 81 06 86,"43,988997","3,606934",3035001
M0455,Occitanie,Gard,Nîmes,musee de la Romanite,"16, Boulevard des Arenes",,30000,04 66 76 74 80,"43,837616","4,362815",3018903
M0457,Occitanie,Gard,Nîmes,musee des beaux-arts,rue  Cite-Foulc,,30000,04 66 76 71 82 (accueil) 04 66 76 71 91 (conservation),"43,832001","4,36081",3018905
M1079,Occitanie,Gard,Saint-Jean-du-Gard,maison Rouge - musee des vallees cevenoles,35 grand rue,,30270,04 66 85 10 48,"44,104188","3,887004",3026901
M7051,Occitanie,Gard,Nîmes,museum d'histoire naturelle et de prehistoire,13 Boulevard Courbet,,30033,04 66 76 73 45,"43,8379809976","4,3637121393",3018901
M0458,Occitanie,Gard,Nîmes,musee du vieux Nîmes,place aux Herbes,Palais Episcopal,30000,04 66 76 71 82,"43,838204","4,359619",3018904
M0462,Occitanie,Gard,Saint-Gilles-du-Gard,musee de la maison Romane,Place de la Maison Romane,Maison Romane,30800,04 66 87 40 42,"43,676985","4,431238",3025801
M0570,Occitanie,Gers,Condom,musee de l'Armagnac,2 rue Jules Ferry,,32100,05 62 28 47 17,"43,960792","0,372858",3210701
M7043,Occitanie,Gers,Marciac,musee Joseph Abeilhe,Hotel de Ville,,32230,05 62 09 38 03,"43,524266","0,160982",3223301
M0571,Occitanie,Gers,Eauze,musee archeologique,Place de la Republique,,32800,05 62 09 71 38,"43,862193","0,101384",3211901
M0572,Occitanie,Gers,Lectoure,musee d'archeologie,Place du General-de-Gaulle,Hotel de ville,32700,05 62 68 70 22,"43,933873","0,638007",3220801
M0574,Occitanie,Gers,Mirande,musee des beaux-arts et des arts decoratifs,13 rue de l'Evêche,,32300,05 62 66 68 10,"43,515315","0,403452",3225601
M0569,Occitanie,Gers,Auch,musee des Ameriques - Auch,4 place Louis Blanc,Ancien Couvent des Jacobins,32000,05 62 05 74 79,"43,647171","0,587482",3201301
M0573,Occitanie,Gers,L'Isle-Jourdain,musee campanaire,Place de l'Hotel de Ville,,32600,05 62 07 30 01,"43,612852","1,08184",3216001
M0557,Occitanie,Haute-Garonne,Bagneres-de-Luchon,musee du pays de Luchon,18 allee d'Etigny,,31110,05 61 79 29 87,"42,789494","0,592035",3104201
M0560,Occitanie,Haute-Garonne,Saint-Bertrand-de-Comminges,musee archeologique,Etudes & Conservation,Batiment de l'ancienne Gendarmerie,31510,05 61 88 31 79,"43,022611","0,579433",3147201
M0563,Occitanie,Haute-Garonne,Toulouse,musee Saint-Raymond,1ter place Saint-Sernin,,31000,05 61 22 31 44,"43,608897","1,441776",3155502
M0558,Occitanie,Haute-Garonne,Martres-Tolosane,musee municipal,place du Donjon,,31220,05 61 98 86 89,"43,199447","1,010287",3132401
M0561,Occitanie,Haute-Garonne,Saint-Gaudens,Le Musee - Arts et Figures des Pyrenees Centrales,35 boulevard Jean-Bepmale,,31806,05 61 89 05 42,"43,1076044627","0,7257149135",3156501
M0564,Occitanie,Haute-Garonne,Toulouse,musee Georges Labit,43 rue des Martyrs-de-la-Liberation,,31400,05 61 14 65 50,"43,590964","1,4584",3155505
M0566,Occitanie,Haute-Garonne,Toulouse,"Les Abattoirs, musee d'art moderne et contemporain",76 allee Charles de Fitte,,31300,05  62 48 58 00,"43,600678","1,428998",3155501
M0556,Occitanie,Haute-Garonne,Aurignac,musee-forum de l'Aurignacien,Avenue de Benabarre,,31420,05 61 90 90 72,"43,216166","0,88003",3102801
M0567,Occitanie,Haute-Garonne,Toulouse,musee du vieux Toulouse,7 rue du May,,31000,05 62 27 11 50,"43,602258","1,443132",3155506
M0562,Occitanie,Haute-Garonne,Toulouse,musee des Augustins,21 rue de Metz,Couvent des Augustins,31000,05 61 22 21 82,"43,600562","1,445904",3155504
M0565,Occitanie,Haute-Garonne,Toulouse,musee Paul Dupuy,13 rue de la Pleau,Ancien Hotel Besson,31000,05 31 22 95 40,"43,596898","1,446935",3155503
M7013,Occitanie,Haute-Garonne,Toulouse,museum d'histoire naturelle,35 allees Jules Guesde,Jardin des Plantes,31000,05 67 73 84 00,"43,594189","1,448945",3155509
M0586,Occitanie,Hautes-Pyrenees,Bagneres-de-Bigorre,musee Salies,boulevard de l'Hyperion,,65200,05 62 91 07 26,"43,063744","0,146227",6505902
M0590,Occitanie,Hautes-Pyrenees,Mauvezin,musee-chateau Gaston Phebus,,Chateau,65130,05 62 39 10 27,"43,114294","0,282555",6530601
M7022,Occitanie,Hautes-Pyrenees,Bagneres-de-Bigorre,museum d'histoire naturelle,Vallon de Salut-Rue Jean Rösch,Anciens Thermes de Salut,65200,05 62 95 39 35,"43,051963","0,147001",6505905
M0588,Occitanie,Hautes-Pyrenees,Lourdes,musee pyreneen,"25, rue du fort",Chateau fort,65100,05 62 42 37 37,"43,096353","-0,048462",6528601
M0587,Occitanie,Hautes-Pyrenees,Bagneres-de-Bigorre,musee de la vie quotidienne dans les Pyrenees,rue Hount-Blanque,,65200,05 62 91 07 33,"43,065612","0,153699",6505901
M0589,Occitanie,Hautes-Pyrenees,Luz-Saint-Sauveur,musee municipal,,Presbytere,65120,05 62 92 35 88,"42,870941","-0,002108",6529501
M0591,Occitanie,Hautes-Pyrenees,Tarbes,musee Massey,,Jardin Massey,65000,05 62 36 31 49,"43,232141","0,073892",6544001
M0467,Occitanie,Herault,Beziers,musee des beaux-arts,7-9 rue Capus / Place de la revolution,Hotel Fayet / Hotel Fabregat,34500,04 67 49 04 66,"43,341429","3,210533",3403201
M0478,Occitanie,Herault,Montpellier,musee du vieux Montpellier,2 Place Petrarque,Hotel de Varennes,34000,04 67 66 02 94,"43,610788","3,878349",3417209
M0470,Occitanie,Herault,Frontignan,musee municipal,"4, rue Lucien-Salette",,34110,04 67 18 50 05,"43,447077","3,755055",3410801
M0475,Occitanie,Herault,Minerve,musee archeologique,Place du Monument-aux-morts,,34210,04 68 91 22 92,"43,354299","2,746165",3415801
M0481,Occitanie,Herault,Murviel-les-Montpellier,musee municipal,Rue de l'ancienne mairie,,34570,04 67 27 88 28,"43,604855","3,736827",3417901
M0468,Occitanie,Herault,Beziers,musee du biterrois,Rampe du 96e,Caserne Saint-Jacques,34500,04 67 36 81 60,"43,338908","3,215208",3403202
M0469,Occitanie,Herault,Bouzigues,musee de l'etang de Thau,Quai du Port de Pêche,,34140,04 67 78 33 57,"43,446763","3,660714",3403901
M0471,Occitanie,Herault,Herepian,musee de la cloche et de la sonnaille,Espace Campanaire Andre Malraux - Avenue de la Gare,,34600,04 67 95 39 95,"43,594707575","3,1132995755",3411901
M0472,Occitanie,Herault,Lattes,musee archeologique,390 route de Perols,,34970,04 67 99 77 20,"43,566659","3,90858",3412901
M0483,Occitanie,Herault,Saint-Pons-de-Thomieres,musee de prehistoire,"6, rue du Barry",,34220,04 67 97 22 61,"43,486827","2,761809",3428401
M0484,Occitanie,Herault,Sete,musee Paul Valery,148 Rue François Desnoyer,,34200,04 99 04 76 16,"43,395512","3,691204",3430101
M7023,Occitanie,Herault,Beziers,museum d'histoire naturelle,Rampe du 96e,caserne Saint-Jacques,34500,04 67 36 71 01,"43,338908","3,215208",3403203
M0465,Occitanie,Herault,Agde (Cap d'Agde),musee de l'Ephebe,Le Cap d'Agde,La Clape,34300,04 67 94 69 60,"43,298047","3,476702",3400302
M0466,Occitanie,Herault,Agde,musee agathois,5 rue de la Fraternite,hotel de la Charite,34300,04 67 94 82 51,"43,311837","3,468587",3400301
M0473,Occitanie,Herault,Les Matelles,musee du Pic-Saint-Loup,25 Rue des consuls,,34270,04 99 63 25 46,"43,731232","3,809872",3415301
M0474,Occitanie,Herault,Lodeve,musee de Lodeve - hotel du cardinal de Fleury,"Square Georges Auric, rue de la Republique",Hotel du Cardinal de Fleury,34700,04 67 88 86 10,"43,731613","3,319595",3414201
M1205,Occitanie,Herault,Lunel,musee Louis Medard,Place des Martyrs de la Resistance,,34400,04 67 87 83 95,"43,675458","4,133656",3414501
M0476,Occitanie,Herault,Montpellier,musee Fabre,39 boulevard Bonne-Nouvelle,,34000,04 67 14 83 00,"43,61135","3,880685",3417203
M0477,Occitanie,Herault,Montpellier,musee de l'hotel d'Espeyran,6 bis rue Montpellieret,,34000,04 67 66 83 00,"43,611112","3,880183",3417910
M0479,Occitanie,Herault,Montpellier,musee languedocien,"7, rue Jacques-Coeur",Hotel des Tresoriers de France,34000,04 67 52 93 03,"43,609524","3,879151",3417202
M0482,Occitanie,Herault,Pezenas,musee Vulliod de Saint-Germain,"3, rue Albert-Paul Allies",,34120,04 67 98 90 59,"43,461352","3,422892",3419901
M0577,Occitanie,Lot,Figeac,musee d'histoire de Figeac,Espace Henri Vayssettes,,46100,05 65 50 31 08,"44,613443","2,016469",4610201
M0578,Occitanie,Lot,Figeac,musee Champollion,Place Champollion,,46100,05 65 50 31 08,"44,609472","2,034599",4610202
M0583,Occitanie,Lot,Sauliac-sur-Cele (Cuzals),musee de plein air du Quercy,Domaine de Cuzals,,46330,05 65 31 36 43,"44,533948","1,697872",4629901
M0581,Occitanie,Lot,Martel,musee gallo-romain d'Uxellodunum,Palais de la Raymondie,Mairie,46600,05 65 37 30 03,"44,9369053438","1,6092714363",4618501
M0582,Occitanie,Lot,Rocamadour,musee d'art sacre,Parvis des Sanctuaires,,46500,05 65 33 23 23,"44,7995824043","1,6175266643",4624001
M0580,Occitanie,Lot,Luzech,musee archeologique,rue de la Ville,Maison des Consuls,46140,05 65 20 17 27,"44,479159","1,286317",4618201
M0585,Occitanie,Lot,Vayrac,musee municipal,Place Lucterius,,46110,05 65 32 40 26,"44,952495","1,703507",4633001
M0575,Occitanie,Lot,Cabrerets,musee de prehistoire Amedee Lemozi,,Pech Merle,46330,05 65 31 23 33,"44,505455","1,653939",4604001
M0576,Occitanie,Lot,Cahors,musee Henri Martin,"792, rue Emile Zola",Ancien Palais Episcopal,46000,05 65 20 88 66,"44,448506","1,438286",4604201
M0579,Occitanie,Lot,Labastide-Murat,musee Murat,place de l'Eglise,,46240,05 65 21 19 23,"44,645658","1,568198",4613801
M0584,Occitanie,Lot,Souillac,musee de l'automate,Place de l'abbaye,,46200,05 65 37 07 07,"44,893995","1,47721",4630901
M0485,Occitanie,Lozere,Le Pont-de-Montvert,ecomusee du mont Lozere,route de Finiels,,48220,04 66 45 80 73,"44,36343","3,746499",4811601
M0486,Occitanie,Lozere,Mende,musee du Gevaudan,3 rue de l'Epine,Hotel de Ressouches,48000,04 66 49 85 95,"44,518396","3,499291",4809501
M0489,Occitanie,Pyrenees-Orientales,Collioure,musee municipal Jean Peske,route de Port-Vendres,Villa Pams,66190,04 68 82 10 19,"42,524426","3,089905",6605301
M0494,Occitanie,Pyrenees-Orientales,Perpignan,musee du Castillet Casa Pairal,place de Verdun,Le Castillet,66000,04 68 35 42 05,"42,727965","2,896696",6613601
M7055,Occitanie,Pyrenees-Orientales,Perpignan,museum d'histoire naturelle,Place Fontaine neuve,Hotel çagarriga,66931,04 68 66 30 68,"42,6977313585","2,9004614423",6613604
M0491,Occitanie,Pyrenees-Orientales,Perpignan,musee Hyacinhe Rigaud,"21, rue Mailly",,66000,04 68 66 19 83,"42,698013","2,892984",6613603
M0488,Occitanie,Pyrenees-Orientales,Ceret,musee d'art moderne,"8, boulevard du Marechal Joffre",,66400,04 68 87 27 76,"42,485799","2,74849",6604902
M0493,Occitanie,Pyrenees-Orientales,Perpignan,musee archeologique de Ruscino,Chateau Roussillon,Site archeologique de Ruscino,66000,04 68 67 47 17,"42,709124","2,945875",6613605
M0498,Occitanie,Pyrenees-Orientales,Tautavel,musee de prehistoire,Avenue Leon-Jean Gregory,,66720,04 68 29 07 76,"42,813587","2,747533",6620501
M0492,Occitanie,Pyrenees-Orientales,Perpignan,musee Joseph Puig,"42, avenue de Grande-Bretagne",Villa les Tilleuls,66000,04 68 62 37 64,"42,69945","2,883256",6613602
M0495,Occitanie,Pyrenees-Orientales,Port-Vendres,musee d'archeologie sous-marine,8 rue Jules Pams,Mairie,66660,04 68 82 32 84,"42,519619","3,107319",6614801
M0497,Occitanie,Pyrenees-Orientales,Sainte-Leocadie,musee de Cerdagne,Ferme Cal Mateu,,66800,04 68 04 08 05,"42,439471","2,002067",6618101
M0597,Occitanie,Tarn,Ferrieres,"musee du protestantisme, de la Reforme a la laïcite",La Ramade - Ferrieres,,81260,05 63 74 05 49,"43,661945","2,448167",8109101
M0594,Occitanie,Tarn,Castres,musee Goya,Rue de l’Hotel-de-Ville,Ancien Evêche,81100,05 63 71 59 30,"43,604813","2,239888",8106501
M0595,Occitanie,Tarn,Castres,musee Jean Jaures,2 place Pelisson,,81100,05 63 62 41 83,"43,607135","2,240474",8106502
M0603,Occitanie,Tarn,Rabastens,musee du pays rabastinois,2 rue Amedee-Clausade,,81800,05 63 40 65 65,"43,820418","1,724791",8122001
M0598,Occitanie,Tarn,Gaillac,musee de l'abbaye Saint-Michel,Place Saint-Michel,,81600,05 63 41 03 81/63 81 20 25,"43,897983","1,895761",8109903
M0599,Occitanie,Tarn,Gaillac,musee des beaux-arts,Avenue Dom-Vayssette,Chateau de Foucaud,81600,05 63 50 18 25,"43,894286","1,901945",8109901
M0601,Occitanie,Tarn,Lavaur,musee du Pays de Cocagne,1 rue Jouxaygues,Chapelle du musee,81500,05 63 58 03 42,"43,698318","1,820763",8114001
M1210,Occitanie,Tarn,Montans,archeosite de Montans,Avenue Elie Rossignol,,81600,05 63 57 59 16,43.865466,1.885602,
M0592,Occitanie,Tarn,Albi,musee Toulouse-Lautrec,Place Sainte-Cecile,Palais de la Berbie,,05 63 49 48 70,"43,928096","2,143551",8100401
M0593,Occitanie,Tarn,Andillac (Le Cayla),musee Eugenie et Maurice Guerin,Chateau du Cayla,,81140,05 63 33 01 68,"44,010155","1,899025",8101201
M0596,Occitanie,Tarn,Cordes,musee Charles Portal - Histoire et patrimoine,1 rue Saint Michel,Porte des Ormeaux,81170,06 63 98 49 29,"44,063752","1,94934",8106901
M0600,Occitanie,Tarn,Labastide-Rouairoux,musee du textile,Rue de la Rive,,81270,05 63 98 08 60,"43,476776","2,638539",8111501
M0602,Occitanie,Tarn,L'Isle-sur-Tarn,musee Raymond Lafage,"10, rue Victor Mazies",,81310,05 63 40 45 45,"43,852892","1,811377",8114501
M7037,Occitanie,Tarn,Gaillac,musee d'histoire naturelle Philadelphe-Thomas,Place Philadelphe Thomas,,81600,05 63 57 36 31,"43,89944","1,89408",8109902
M0608,Occitanie,Tarn-et-Garonne,Saint-Antoine-Noble-Val,musee de prehistoire,Place de la Halle,Maison romane,82140,05 63 30 60 23,"44,15188","1,756727",8215501
M0604,Occitanie,Tarn-et-Garonne,Auvillar,musee du vieil Auvillar,12 Place de la Halle,Mairie d'Auvillar,82340,07 82 86 66 15,"44,070335","0,899472",8200801
M0606,Occitanie,Tarn-et-Garonne,Moissac,musee des arts et traditions populaires,4 rue de l'Abbaye,,82200,05 63 04 03 08,"44,105697","1,085296",8211202
M0605,Occitanie,Tarn-et-Garonne,Grisolles,musee Theodore Calbet,15 rue Jean Comere,,82170,05 63 02 83 06,"43,827651","1,294738",8207501
M0607,Occitanie,Tarn-et-Garonne,Montauban,musee Ingres Bourdelle,"19, rue de l'Hotel de Ville BP 752",Ancien Palais Episcopal,82000,05 63 22 12 92,"44,017091","1,35188",8212102
M7046,Occitanie,Tarn-et-Garonne,Montauban,musee d'histoire naturelle Victor-Brun,2 place Antoine Bourdelle,,82000,05 63 22 13 85,"44,017099","1,351385",8212101
M0738,Pays-de-la-Loire,Loire-Atlantique,Blain,musee des arts et traditions populaires,2 place Jean Guihard,,44130,02 40 79 98 51,"47,475727","-1,764575",4401501
M0743,Pays-de-la-Loire,Loire-Atlantique,Nantes,musees des beaux-arts,10 rue Georges Clemenceau,,44000,02 51 17 45 00,"47,219276","-1,547096",4410902
M0746,Pays-de-la-Loire,Loire-Atlantique,Saint-Joachim,musees du parc naturel regional de Briere,177 Île-de-Fedrun,,44720,02 40 91 68 68,"47,373699","-2,21367",4416801
M0742,Pays-de-la-Loire,Loire-Atlantique,Le Pallet,musee du vignoble nantais,82 rue Pierre Abelard,,44330,02 40 80 90 13,"47,134414","-1,329883",4417701
M0741,Pays-de-la-Loire,Loire-Atlantique,Guerande,musee de la porte Saint-Michel,"7, place du Marche-au-Bois",porte Saint-Michel,44351,02 28 55 05 05,"47,3278205451","-2,4263477594",4406901
M0744,Pays-de-la-Loire,Loire-Atlantique,Nantes,musee du chateau des ducs de Bretagne,4 place Marc Elder,Chateau des Ducs de Bretagne,44000,02 51 17 49 48,"47,216353","-1,549389",4410904
M0745,Pays-de-la-Loire,Loire-Atlantique,Nantes,musee Dobree,"Departement de Loire-Atlantique, Grand-Patrimoine de Loire-Atlantique","3 quai Ceineray, CS 94109",44000,02 40 71 03 50,"47,211788","-1,566123",4410907
M0747,Pays-de-la-Loire,Loire-Atlantique,Saint-Nazaire,ecomusee,avenue de Saint-Hubert,,44600,02 51 10 03 03,"47,273813","-2,198174",4418401
M0740,Pays-de-la-Loire,Loire-Atlantique,Chateaubriant,musee municipal,"Hotel de Ville, BP 189",,44146,,"47,7210090453","-1,3758648097",4403601
M1124,Pays-de-la-Loire,Loire-Atlantique,Batz-sur-Mer,musee des Marais salants,"29bis, rue Pasteur",,44740,02 40 23 82 95 (Accueil publics - Reservations) ; 02 40 23 82 79 (Conservation),"47,278542","-2,478054",4401001
M7049,Pays-de-la-Loire,Loire-Atlantique,Nantes,museum d'histoire naturelle,12 rue Voltaire,,44000,02 40 99 26 20,"47,212385","-1,564652",4410901
M0739,Pays-de-la-Loire,Loire-Atlantique,Bourgneuf-en-Retz,musee du pays de Retz,6 rue des Moines,,44580,02 40 21 40 83,"47,042318","-1,952164",4402101
M0749,Pays-de-la-Loire,Maine-et-Loire,Angers,musee Pince,32 bis rue Lenepveu,,49100,02 41 05 38 00,"47,471767","-0,551841",4900702
M0753,Pays-de-la-Loire,Maine-et-Loire,Beaufort-en-Vallee,musee Joseph Denais,"Place Notre-Dame, Beaufort-en-Vallee",,49250,02 41 57 40 50,"47,44022","-0,217749",4902101
M7017,Pays-de-la-Loire,Maine-et-Loire,Angers,museum des sciences naturelles,43 rue Jules Guitton,,49100,02 41 05 48 50,"47,473467","-0,546399",4900708
M0752,Pays-de-la-Loire,Maine-et-Loire,Bauge,musee d'art et d'histoire,Place de l'Europe,Chateau du Roi Rene d'Anjou,49150,02 41 82 68 11,"47,531598","-0,119966",4901801
M0760,Pays-de-la-Loire,Maine-et-Loire,Trelaze,musee de l'ardoise,32 chemin de La Maraîchere,,49800,02 41 69 04 71,"47,450792","-0,491518",4935301
M1092,Pays-de-la-Loire,Maine-et-Loire,Parçay-les-Pins,musee Jules-Desbois,"1 place Jules-Desbois, Parçat-les-Pins",,49390,02 41 82 28 80,"47,436646","0,159508",4923401
M0754,Pays-de-la-Loire,Maine-et-Loire,Cholet,musee d'art et d'histoire,27 avenue de l'Abreuvoir,,49300,02 41 49 29 00,"47,058385","-0,882284",4909901
M0756,Pays-de-la-Loire,Maine-et-Loire,Cholet,musee du textile,rue du Docteur Roux,,49300,02 41 75 25 40,"47,069473","-0,897677",4909904
M0759,Pays-de-la-Loire,Maine-et-Loire,Saumur,chateau-musee de Saumur,Rue Moliere,Chateau de Saumur,49408,02 41 40 24 40,"47,2572892136","-0,0719175041",4932802
M0748,Pays-de-la-Loire,Maine-et-Loire,Angers,musee des beaux-arts et galerie David-d'Angers,"14 rue du musee, 33 bis rue Toussaint",Logis Barrault,49100,02 41 05 38 94 ; 02 41 05 38 90,"47,469659","-0,555485",4900701
M0751,Pays-de-la-Loire,Maine-et-Loire,Angers,musee Jean Lurcat et de la tapisserie contemporaine,4 boulevard Arago,Hopital Saint-Jean,49100,02 41 24 18 45,"47,477759","-0,557052",4900703
M0758,Pays-de-la-Loire,Maine-et-Loire,Saint-Lambert-du-Lattay,musee de la vigne et du vin d'Anjou,Place des Vignerons,Saint-Lambert-du-Lattay,49750,02 41 78 42 75,"47,305499","-0,635024",4929201
M0762,Pays-de-la-Loire,Mayenne,Chateau-Gontier,musee d'art et d'archeologie,rue Jean Bourre,BP 402,53204,02 43 70 42 74,"47,8291489479","-0,7039436065",5306201
M0767,Pays-de-la-Loire,Mayenne,Mayenne,musee du chateau,Place Juhel,Chateau,53100,02 43 00 17 17,"48,302519","-0,620269",5314701
M0765,Pays-de-la-Loire,Mayenne,Jublains,musee archeologique departemental,13 rue de la Liberation,,53160,02 43 58 13 20,"48,255526","-0,496863",5312201
M0761,Pays-de-la-Loire,Mayenne,Ambrieres-les-Vallees,musee des tisserands mayennais,place Billard-de-Vaux,,53300,02 43 04 96 19,"48,402909","-0,630644",5300301
M0763,Pays-de-la-Loire,Mayenne,Cosse-le-Vivien,musee Robert Tatin,La Frênouse,,53230,02 43 98 80 89,"47,942514","-0,906893",5307701
M0768,Pays-de-la-Loire,Mayenne,Renaze,musee de l'ardoise,,Butte de Longchamp,53800,02 43 06 41 74,"47,792697","-1,059417",5318801
M0764,Pays-de-la-Loire,Mayenne,Ernee,musee municipal,,Place de l'Hotel de Ville,53500,02 43 08 71 17,"48,296148","-0,933518",5309601
M0766,Pays-de-la-Loire,Mayenne,Laval,musee du vieux chateau,Place de La Tremoille,Vieux-Chateau,53000,02 43 53 39 89,"48,068652","-0,77221",5313001
M7041,Pays-de-la-Loire,Mayenne,Laval,musee des sciences,Place de Herce,,53000,02 43 49 47 81,"48,06597","-0,772148",5313002
M0770,Pays-de-la-Loire,Sarthe,Le Mans,musee de Tesse,"2, avenue de Paderborn",,72000,02 43 47 38 51,"48,01112","0,203755",7218101
M0771,Pays-de-la-Loire,Sarthe,Le Mans,musee de la reine Berengere,9-13 rue de la Reine Berengere,,72000,02 43 47 38 80,"48,008953","0,1977",7218102
M1172,Pays-de-la-Loire,Sarthe,Malicorne,musee espace faïence de Malicorne,Rue Victor Hugo,,72270,02 43 48 07 17,"47,813698","-0,083896",7217901
M0769,Pays-de-la-Loire,Sarthe,Chateau-du-Loir,musee municipal,Mairie,Chateau-du-Loir,72500,02 43 38 18 00,"47,693176","0,417263",7207101
M1192,Pays-de-la-Loire,Sarthe,Le Mans,musee vert Veron-de-Forbonnais,204 avenue Jean Jaures,,72100,02 43 47 39 94,"47,986868","0,208417",7218199
M1131,Pays-de-la-Loire,Sarthe,Saint-Calais,bibliotheque-musee,Place de l'hotel de ville,Centre culturel,72120,02 43 35 63 03,"47,920368","0,743518",7226901
M0774,Pays-de-la-Loire,Vendee,La Barre-de-Monts,centre de decouverte du marais breton,Lieu dit «Le Daviaud»,,85550,02 51 93 84 84,"46,874377","-2,102492",8501201
M0775,Pays-de-la-Loire,Vendee,La Gueriniere,musee des traditions,,,85680,,"46,966649","-2,231792",8510601
M7039,Pays-de-la-Loire,Vendee,La Chaize-le-Vicomte,musee ornithologique Charles-Payraudeau,Mairie,,85310,02 51 05 70 21,"46,671824","-1,292607",8504601
M0772,Pays-de-la-Loire,Vendee,Faymoreau-les-Mines,centre minier,La cour,,85240,02 51 00 48 48,"46,55525","-0,630566",8508701
M0782,Pays-de-la-Loire,Vendee,Noirmoutier-en-l'Île,musee du chateau,Place d'armes,,85330,02 51 39 10 42,"46,999718","-2,243127",8516302
M1121,Pays-de-la-Loire,Vendee,Les Lucs-Sur-Boulogne,Historial de la Vendee,Allee Paul Bazin,,85170,02 85 85 77 77,"46,859966","-1,492724",8512901
M0779,Pays-de-la-Loire,Vendee,Montaigu,musee du nord Vendee,Place de l'Hotel de Ville,Pavillon des Nourrices,85600,02 51 09 21 21,"46,974635","-1,313386",8514601
M0783,Pays-de-la-Loire,Vendee,Soullans,musee Milcendeau-Jean Yole,84 chemin du Bois-Durand,,85300,02 51 35 03 84,"46,77769","-1,909718",8528401
M5049,Pays-de-la-Loire,Vendee,Mouilleron-en-Pareds,musee Clemenceau et de Lattre de Tassigny,18 rue du Temple (Maison natale de Clemenceau),1 rue Plante-Choux (maison natale du marechal de Lattre de Tassigny),85390,02 51 00 31 49,"46,675283","-0,849535",8515401
M0773,Pays-de-la-Loire,Vendee,Fontenay-le-Comte,musee de Fontenay-le-Comte,Place du 137e Regiment d'Infanterie,,85200,02 51 53 40 04,"46,4674622345","-0,8068097391",8509201
M0776,Pays-de-la-Loire,Vendee,La Roche-sur-Yon,musee municipal,10 rue Salvador Allende,Service musee et Patrimoine - Salle d'exposition du Cyel,85000,02 51 47 48 35,"46,669265","-1,428828",8519101
M1132,Pays-de-la-Loire,Vendee,Saint-Hilaire-de-Riez,musee La Bourrine du Bois-Juquaud,4 chemin du Bois Juquaud,,85270,02 51 59 94 07,"46,757962","-1,953276",8522601
M0778,Pays-de-la-Loire,Vendee,Les Sables d'Olonne,musee de l'abbaye Sainte-Croix,Rue de Verdun,,85100,02 51 32 01 16,"46,497474","-1,777309",8519401
M0781,Pays-de-la-Loire,Vendee,Noirmoutier-en-l'Île,musee de la construction navale artisanale,Rue de l'Ecluse,,85330,02 51 35 99 99,"46,99903","-2,245756",8516301
M0859,Provence-Alpes-Cote-d'Azur,Alpes-de-Haute-Provence,Mane,musee de Salagon,Route nationale,Prieure de Salagon,04300,04 92 75 70 50,"43,93798","5,76727",0411101
M0861,Provence-Alpes-Cote-d'Azur,Alpes-de-Haute-Provence,Quinson,musee departemental de prehistoire,Route de Montmeyan,,04500,04 92 74 09 59,"43,709854","6,040734",0415801
M0862,Provence-Alpes-Cote-d'Azur,Alpes-de-Haute-Provence,Riez-la-Romaine,musee archeologique,Route de Marseille,,04500,04 92 72 22 43,"43,815415","6,08717",0416601
M0856,Provence-Alpes-Cote-d'Azur,Alpes-de-Haute-Provence,Barcelonnette,musee de la vallee,"10, avenue de la Liberation",,04400,04 92 81 27 15,"44,387609","6,655077",0401901
M0857,Provence-Alpes-Cote-d'Azur,Alpes-de-Haute-Provence,Digne-les-Bains,musee Gassendi,64 boulevard Gassendi,,04000,04 92 31 45 29,"44,092652","6,235077",0407001
M0864,Provence-Alpes-Cote-d'Azur,Alpes-de-Haute-Provence,Reillane (Vacheres),musee archeologique,Ecole publique,,04110,04 92 75 61 16 ( mairie),"43,9359822642","5,6543700358",0422701
M0858,Provence-Alpes-Cote-d'Azur,Alpes-de-Haute-Provence,Forcalquier,musee municipal,1 place du Bourguet,Mairie,04301,4 92 70 91 19,"43,9624449422","5,7744061718",0408801
M0860,Provence-Alpes-Cote-d'Azur,Alpes-de-Haute-Provence,Moustiers-Sainte-Marie,musee de la faïence,,Espace Christiane Vivier,04360,04 92 74 61 64,"43,846892","6,220175",0413501
